
2024/11/10 (09:20:26) | ===> btop++ v.1.4.0
2024/11/10 (09:20:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (10:20:48) | ===> btop++ v.1.4.0
2024/11/10 (10:20:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (10:40:11) | ===> btop++ v.1.4.0
2024/11/10 (10:40:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (11:48:28) | ===> btop++ v.1.4.0
2024/11/10 (11:48:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (14:47:42) | ===> btop++ v.1.4.0
2024/12/27 (14:47:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (21:26:53) | ===> btop++ v.1.4.0
2025/02/13 (21:26:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (10:36:42) | ===> btop++ v.1.4.0
2025/02/16 (10:36:42) | WARNING: Intel GPU: Failed to initialize PMU
